Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date
2024-12-19 09:30:00-05:00,131.72000122070312,131.89999389648438,130.22999572753906,131.16000366210938,16831702,0.0,0.0,2024-12-19 09:30:00
2024-12-19 09:35:00-05:00,131.14500427246094,131.39999389648438,129.8217010498047,130.30999755859375,6018500,0.0,0.0,2024-12-19 09:35:00
2024-12-19 09:40:00-05:00,130.3199005126953,131.16090393066406,130.25999450683594,130.875,4505090,0.0,0.0,2024-12-19 09:40:00
2024-12-19 09:45:00-05:00,130.7899932861328,131.60000610351562,130.6999969482422,130.9600067138672,4351661,0.0,0.0,2024-12-19 09:45:00
2024-12-19 09:50:00-05:00,130.9600067138672,131.50999450683594,130.73500061035156,130.73500061035156,2801111,0.0,0.0,2024-12-19 09:50:00
2024-12-19 09:55:00-05:00,130.72000122070312,131.13999938964844,130.5800018310547,130.94000244140625,2774243,0.0,0.0,2024-12-19 09:55:00
2024-12-19 10:00:00-05:00,130.92999267578125,131.32980346679688,130.57000732421875,130.5749969482422,3110412,0.0,0.0,2024-12-19 10:00:00
2024-12-19 10:05:00-05:00,130.5800018310547,130.77999877929688,129.9499969482422,130.74000549316406,3757573,0.0,0.0,2024-12-19 10:05:00
2024-12-19 10:10:00-05:00,130.7200927734375,132.05999755859375,130.6300048828125,132.00999450683594,4201461,0.0,0.0,2024-12-19 10:10:00
2024-12-19 10:15:00-05:00,131.99349975585938,132.02999877929688,131.5800018310547,131.75990295410156,2608297,0.0,0.0,2024-12-19 10:15:00
2024-12-19 10:20:00-05:00,131.6999969482422,131.83999633789062,130.83099365234375,130.9680938720703,2539903,0.0,0.0,2024-12-19 10:20:00
2024-12-19 10:25:00-05:00,130.97799682617188,131.39999389648438,130.22000122070312,130.22000122070312,2894809,0.0,0.0,2024-12-19 10:25:00
2024-12-19 10:30:00-05:00,130.22000122070312,130.4499969482422,129.5500030517578,129.6999969482422,3909164,0.0,0.0,2024-12-19 10:30:00
2024-12-19 10:35:00-05:00,129.6999969482422,130.5500030517578,129.5655975341797,130.27000427246094,2868372,0.0,0.0,2024-12-19 10:35:00
2024-12-19 10:40:00-05:00,130.26210021972656,131.28500366210938,130.10000610351562,131.17010498046875,4601683,0.0,0.0,2024-12-19 10:40:00
2024-12-19 10:45:00-05:00,131.1699981689453,131.66000366210938,131.07000732421875,131.6300048828125,2345108,0.0,0.0,2024-12-19 10:45:00
2024-12-19 10:50:00-05:00,131.63499450683594,131.9499969482422,131.4199981689453,131.58999633789062,2450498,0.0,0.0,2024-12-19 10:50:00
